0,1,0,4,4.0,26.0,5026472,5026472,22120
0,1,0,5,5.0,44.0,5026432,5026432,41672
0,1,0,6,6.0,66.66666666666667,5742168,5742168,70976
0,1,0,7,7.0,94.0,5742208,5742208,111512
0,1,0,8,8.0,126.0,5741984,5741984,163392
0,1,0,9,9.0,162.66666666666666,6457864,6457864,233344
0,1,0,10,10.0,204.0,7173672,7173672,318104
0,1,0,11,11.0,250.0,8604752,8604752,421200
0,1,0,12,12.0,300.6666666666667,8605040,8605040,547768
0,1,0,13,13.0,356.0,10036656,10036656,708144
0,1,0,14,14.0,416.0,11468272,11468272,879928
0,1,0,15,15.0,480.6666666666667,12899256,12899256,1083496
0,1,0,16,16.0,550.0,14331720,14331720,1308160
0,1,0,17,17.0,624.0,16479288,16479288,1560296
0,1,0,18,18.0,702.6666666666666,18626128,18626128,1856808
0,1,0,19,19.0,786.0,20774064,20774064,2175016
0,1,0,20,20.0,874.0,25782792,25782792,2532640
0,1,0,21,21.0,966.6666666666666,27215008,27215008,2933128
0,1,0,22,22.0,1064.0,27931536,27931536,3375368
0,1,0,23,23.0,1166.0,30796168,30796168,3850208
0,1,0,24,24.0,1272.6666666666667,35782656,35782656,4369592
0,1,0,25,25.0,1384.0,43896456,46413080,5014656
0,1,0,26,26.0,1500.0,48103400,46449896,5631840
0,1,0,27,27.0,1620.6666666666667,18854664,18854664,6323488
0,1,0,28,28.0,1746.0,58620328,46430024,7039816
0,1,0,29,29.0,1876.0,60724920,46446200,7823600
0,1,0,30,30.0,2010.6666666666667,96032728,53916872,8675296
0,1,0,31,31.0,2150.0,88631864,53854992,9524304
0,1,0,32,32.0,2294.0,77710880,53482720,10490984
0,1,0,33,33.0,2442.6666666666665,85092696,53074744,11490656
0,1,0,34,34.0,2596.0,88114128,53524504,12518024
0,1,0,35,35.0,2754.0,124311976,59083136,13624808
0,1,0,36,36.0,2916.6666666666665,107204504,53344968,14826176
0,1,0,37,37.0,3084.0,118848864,58703040,16096968
0,1,0,38,38.0,3256.0,153214008,63723704,17436480
0,1,0,39,39.0,3432.6666666666665,149005896,63893208,18839936
0,1,0,40,40.0,3614.0,165133472,63816832,20311448
0,1,0,41,41.0,3800.0,158763840,63370144,21864368
0,1,0,42,42.0,3990.6666666666665,384227136,73780520,23471712
0,1,0,43,43.0,4186.0,184797248,67864000,25185440
0,1,0,44,44.0,4386.0,192527808,68570496,26986200
0,1,0,45,45.0,4590.666666666667,202394736,68763688,28871344
0,1,0,46,46.0,4800.0,218396328,73526280,30896664
0,1,0,47,47.0,5014.0,266163968,78475912,32877080
0,1,0,48,48.0,5232.666666666667,249593608,74560904,35026000
0,1,0,49,49.0,5456.0,260502136,79219840,37801608
0,1,0,50,50.0,5684.0,288461320,83835376,40212592
0,1,0,51,51.0,5916.666666666667,306252008,83850528,42614664
0,1,0,52,52.0,6154.0,309798560,84212528,45202784
0,1,0,53,53.0,6396.0,329950184,88868184,47791656
0,1,0,54,54.0,6642.666666666667,339907568,89833360,50550432
0,1,0,55,55.0,6894.0,372891976,93837864,53367712
0,1,0,56,56.0,7150.0,394356632,99142448,56362104
0,1,0,57,57.0,7410.666666666667,425768800,98669880,59414960
0,1,0,58,58.0,7676.0,455135752,103289224,62599016
0,1,0,59,59.0,7946.0,488065880,108510832,65880536
0,1,0,60,60.0,8220.666666666666,482356952,108009568,69356896
0,1,0,61,61.0,8500.0,503846952,113323680,72794152
0,1,0,62,62.0,8784.0,578268248,127027080,76340864
0,1,0,63,63.0,9072.666666666666,562516296,117620160,80126352
0,1,0,64,64.0,9366.0,611910848,127476992,83975544
0,1,0,65,65.0,9664.0,614069200,127000568,87879360
0,1,0,66,66.0,9966.666666666666,672701120,131979864,91981720
0,1,0,67,67.0,10274.0,681202336,136389096,96114120
0,1,0,68,68.0,10586.0,863660640,180594224,100477472
0,1,0,69,69.0,10902.666666666666,735651872,141405736,104779128
